Tract_Name,County,Municipality,Median_RE_Taxes,Data_Vintage, 
Middlesex County Census Tract 86.05,Middlesex,Plainsboro Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 86.06,Middlesex,Plainsboro Township,8163,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 21.02,Middlesex,Metuchen Borough,10000,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 23.01,Middlesex,Woodbridge Township,9508,2017-2021 American Community Survey 5-Year Estimates, 
Bergen County Census Tract 321.04,Bergen,Mahwah Township,6274,2017-2021 American Community Survey 5-Year Estimates, 
Bergen County Census Tract 413.02,Bergen,Palisades Park Borough,10000,2017-2021 American Community Survey 5-Year Estimates, 
Bergen County Census Tract 62.02,Bergen,Cliffside Park Borough,9574,2017-2021 American Community Survey 5-Year Estimates, 
Passaic County Census Tract 2238.01,Passaic,Totowa Borough,8014,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 74.02,Middlesex,Sayreville Borough,7167,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 76,Middlesex,South Amboy City,7257,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 84.05,Middlesex,South Brunswick Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 85.01,Middlesex,South Brunswick Township,8643,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 85.04,Middlesex,South Brunswick Township,9711,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 86.02,Middlesex,Plainsboro Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 49,Middlesex,Perth Amboy City,8708,2017-2021 American Community Survey 5-Year Estimates, 
Morris County Census Tract 445.02,Morris,Rockaway Township,9575,2017-2021 American Community Survey 5-Year Estimates, 
Morris County Census Tract 447.02,Morris,Jefferson Township,9570,2017-2021 American Community Survey 5-Year Estimates, 
Morris County Census Tract 448,Morris,Dover Town,5917,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 9.02,Middlesex,South Plainfield Borough,7139,2017-2021 American Community Survey 5-Year Estimates, 
Morris County Census Tract 457.03,Morris,Randolph Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Morris County Census Tract 457.04,Morris,Randolph Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Morris County Census Tract 458.04,Morris,Mendham Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Morris County Census Tract 464,Morris,Mendham Borough,10000,2017-2021 American Community Survey 5-Year Estimates, 
Morris County Census Tract 401.01,Morris,Lincoln Park Borough,10000,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 24.01,Middlesex,Woodbridge Township,9623,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 24.02,Middlesex,Woodbridge Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 25,Middlesex,Woodbridge Township,9337,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 26.03,Middlesex,Woodbridge Township,9200,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 26.04,Middlesex,Woodbridge Township,8179,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 26.05,Middlesex,Woodbridge Township,9017,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 62.04,Middlesex,North Brunswick Township,8340,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 28.05,Middlesex,Woodbridge Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Morris County Census Tract 417.06,Morris,Parsippany-Troy Hills Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 217.01,Essex,Caldwell Borough,10000,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 217.02,Essex,Caldwell Borough,10000,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 77.03,Middlesex,Old Bridge Township,7106,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 77.04,Middlesex,Old Bridge Township,6633,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 229,Essex,Newark City,,2017-2021 American Community Survey 5-Year Estimates,No Real Estate Tax Data
Essex County Census Tract 231,Essex,Newark City,7730,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 232,Essex,Newark City,5810,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 9801,Essex,Newark City,,2017-2021 American Community Survey 5-Year Estimates,No Real Estate Tax Data
Middlesex County Census Tract 78.01,Middlesex,Old Bridge Township,7907,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 92,Middlesex,Sayreville Borough,6459,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 94,Middlesex,East Brunswick Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 60.01,Middlesex,New Brunswick City,6464,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 15.05,Middlesex,Edison Township,6486,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 15.06,Middlesex,Edison Township,7962,2017-2021 American Community Survey 5-Year Estimates, 
